Initial Abundances for Pitrou BBN nucleosynthesis calculations

BBN abundances using Table VIII (assuming 85% 12C, 5% 14N and 10% 16O)
    n 0.0000000E+00     p 7.5288000E-01     d 1.2295000E-05     t 0.0000000E+00
  he3 3.5800000E-06   he4 6.1773500E-02   li6 2.1166667E-15   li7 8.0328571E-11
  be7 0.0000000E+00   be8 0.0000000E+00   be9 0.0000000E+00  be10 0.0000000E+00
   b8 0.0000000E+00   b10 0.0000000E+00   b11 0.0000000E+00   b12 0.0000000E+00
   c9 0.0000000E+00   c10 0.0000000E+00   c11 0.0000000E+00   c12 1.0841000E-15
  c13 0.0000000E+00   c14 0.0000000E+00   n11 0.0000000E+00   n12 0.0000000E+00
  n13 0.0000000E+00   n14 5.4642900E-17   n15 0.0000000E+00   o13 0.0000000E+00
  o14 0.0000000E+00   o15 0.0000000E+00   o16 9.5625000E+00   o17 0.0000000E+00
  o18 0.0000000E+00   f14 0.0000000E+00   f16 0.0000000E+00   f17 0.0000000E+00
  f18 0.0000000E+00   f19 0.0000000E+00  ne15 0.0000000E+00  ne16 0.0000000E+00
 ne17 0.0000000E+00  ne18 0.0000000E+00  ne19 0.0000000E+00  ne20 0.0000000E+00
 ne21 0.0000000E+00  ne22 0.0000000E+00  na17 0.0000000E+00  na18 0.0000000E+00
 na19 0.0000000E+00  na20 0.0000000E+00  na21 0.0000000E+00  na22 0.0000000E+00
 na23 0.0000000E+00  mg19 0.0000000E+00  mg20 0.0000000E+00  mg21 0.0000000E+00
 mg22 0.0000000E+00  mg23 0.0000000E+00  mg24 0.0000000E+00  mg25 0.0000000E+00
 mg26 0.0000000E+00  al21 0.0000000E+00  al22 0.0000000E+00  al23 0.0000000E+00
 al24 0.0000000E+00  al25 0.0000000E+00  al-6 0.0000000E+00  al*6 0.0000000E+00
 al27 0.0000000E+00  si22 0.0000000E+00  si23 0.0000000E+00  si24 0.0000000E+00
 si25 0.0000000E+00  si26 0.0000000E+00  si27 0.0000000E+00  si28 0.0000000E+00
 si29 0.0000000E+00  si30 0.0000000E+00  si31 0.0000000E+00  si32 0.0000000E+00
  p23 0.0000000E+00   p24 0.0000000E+00   p25 0.0000000E+00   p26 0.0000000E+00
  p27 0.0000000E+00   p28 0.0000000E+00   p29 0.0000000E+00   p30 0.0000000E+00
  p31 0.0000000E+00   p32 0.0000000E+00   p33 0.0000000E+00   s24 0.0000000E+00
  s25 0.0000000E+00   s26 0.0000000E+00   s27 0.0000000E+00   s28 0.0000000E+00
  s29 0.0000000E+00   s30 0.0000000E+00   s31 0.0000000E+00   s32 0.0000000E+00
  s33 0.0000000E+00   s34 0.0000000E+00   s35 0.0000000E+00   s36 0.0000000E+00
 cl26 0.0000000E+00  cl27 0.0000000E+00  cl28 0.0000000E+00  cl29 0.0000000E+00
 cl30 0.0000000E+00  cl31 0.0000000E+00  cl32 0.0000000E+00  cl33 0.0000000E+00
 cl34 0.0000000E+00  cl35 0.0000000E+00  cl36 0.0000000E+00  cl37 0.0000000E+00
 ar27 0.0000000E+00  ar28 0.0000000E+00  ar29 0.0000000E+00  ar30 0.0000000E+00
 ar31 0.0000000E+00  ar32 0.0000000E+00  ar33 0.0000000E+00  ar34 0.0000000E+00
 ar35 0.0000000E+00  ar36 0.0000000E+00  ar37 0.0000000E+00  ar38 0.0000000E+00
 ar39 0.0000000E+00  ar40 0.0000000E+00   k29 0.0000000E+00   k30 0.0000000E+00
  k31 0.0000000E+00   k32 0.0000000E+00   k33 0.0000000E+00   k34 0.0000000E+00
  k35 0.0000000E+00   k36 0.0000000E+00   k37 0.0000000E+00   k38 0.0000000E+00
  k39 0.0000000E+00   k40 0.0000000E+00   k41 0.0000000E+00  ca30 0.0000000E+00
 ca31 0.0000000E+00  ca32 0.0000000E+00  ca33 0.0000000E+00  ca34 0.0000000E+00
 ca35 0.0000000E+00  ca36 0.0000000E+00  ca37 0.0000000E+00  ca38 0.0000000E+00
 ca39 0.0000000E+00  ca40 0.0000000E+00  ca41 0.0000000E+00  ca42 0.0000000E+00
 ca43 0.0000000E+00  ca44 0.0000000E+00  ca45 0.0000000E+00  ca46 0.0000000E+00
 ca47 0.0000000E+00  ca48 0.0000000E+00  sc32 0.0000000E+00  sc33 0.0000000E+00
 sc34 0.0000000E+00  sc35 0.0000000E+00  sc36 0.0000000E+00  sc37 0.0000000E+00
 sc38 0.0000000E+00  sc39 0.0000000E+00  sc40 0.0000000E+00  sc41 0.0000000E+00
 sc42 0.0000000E+00  sc43 0.0000000E+00  sc44 0.0000000E+00  sc45 0.0000000E+00
 sc46 0.0000000E+00  sc47 0.0000000E+00  sc48 0.0000000E+00  sc49 0.0000000E+00
